formula,atomic_volume,band_gap,outer_electron,diff_electroneg,spacegroup,band_gap.is_direct
BaTe,44.54554195,1.593,16,1.21,m-3m,0
CCl4,30.16679977,4.513,11,0.61,2/m,0
BaO,21.47826114,2.3711,8,2.55,6/mmm,0
Ba5Sb4,42.16010141,0.2616,15,1.16,mmm,0
Ca2Sn,36.1689843,0.6909,14,0.96,m-3m,0
Ca2Si,30.70168032,0.5848,6,0.9,m-3m,0
Ca2Ge,31.35578934,0.6088,14,1.01,m-3m,0
Ca2Pb,37.14400373,0.6818,14,1.33,m-3m,0
AlSb,30.27156295,0.9179,24,0.44,6mm,1
BaF2,20.6698118,6.6232,9,3.09,m-3m,0
Ca3N2,18.46073774,0.773,7,2.04,-3m,0
BrCl,39.59248304,1.7847,22,0.2,mm2,0
CdSe,29.97333746,0.5718,24,0.86,6mm,1
Be3N2,6.851151191,2.8075,7,1.47,3m,0
YbBr2,33.78932908,4.3141,29,1.86,4/mmm,1
Be5Pt,8.897985886,0.1026,10,0.71,-43m,0
CO2,13.60847557,6.5862,10,0.89,mmm,0
SiBr3,38.19792761,3.9444,19,1.06,2/m,0
WBr4,32.70094125,0.2355,19,0.6,2/m,0
As2Se3,25.67763656,0.6253,27,0.37,2/m,0
Al2S3,17.57692237,2.5198,17,0.97,-3m,0
RbAs,36.62679825,0.5851,14,1.36,222,1
NbBr4,33.65547314,0.8633,18,1.36,2/m,0
BaF3,17.95581569,0.7879,9,3.09,2/m,0
Ag2S,18.89010457,0.1164,15,0.65,222,0
LaAs2,25.46190297,0.1831,14,1.08,2/m,0
CO2,15.48732972,6.4371,10,0.89,422,1
AlF3,12.00982827,7.4309,18,2.37,32,0
BaO2,17.38229065,2.2376,8,2.55,4/mmm,0
BaP2,27.46304125,0.5584,7,1.3,2/m,1
As2O3,17.50095063,3.4664,19,1.26,2,0
SnBr2,33.62664537,2.4185,27,1,6/m,1
BaP3,25.81871599,1.4233,7,1.3,2/m,0
AlH3,11.57719534,3.2465,12,0.59,m-3m,0
NaAs,24.45233293,0.5821,14,1.25,2/m,0
Al2O3,8.7420037,5.8537,17,1.83,-3m,1
Ho4C7,14.2902642,0.5867,15,1.32,2/m,0
CF4,14.72471869,9.0608,11,1.43,2/m,0
Al2Se3,26.0866358,1.8055,25,0.94,m,0
SiC,10.49622818,2.0014,8,0.65,3m,0
SiC,10.49539489,2.2433,8,0.65,6mm,0
CO2,16.98638884,6.4318,10,0.89,4/mmm,1
CO2,19.26919269,6.4531,10,0.89,mm2,1
BaO6,17.18540777,0.1051,8,2.55,2/m,0
AlH3,9.76878065,3.2607,12,0.59,mmm,0
NaAs,24.86283668,0.5502,14,1.25,222,0
CdI2,39.98064149,2.3742,25,0.97,3m,0
As2O3,20.28795563,3.6483,19,1.26,4/m,1
As2S3,28.23440334,2.0015,19,0.4,-1,0
BeCl2,26.58605507,6.5771,9,1.59,-43m,0
Ba3Sn2,40.97771317,0.4849,14,1.07,422,0
YbBr2,29.56175857,4.3657,29,1.86,mmm,1
Al6Ge5,20.47364093,0.4942,23,0.4,-3m,0
CO2,15.91486383,6.4903,10,0.89,-3m,0
AsS2,24.94733238,1.292,19,0.4,2,1
Li3As,15.59275547,0.3925,14,1.2,-3m,1
As4Se3,33.43960096,1.6249,27,0.37,mmm,1
As2O3,18.15711636,3.5541,19,1.26,2/m,1
Ca4As3,26.2540898,0.4864,15,1.18,mmm,0
Ba3P14,26.4880872,1.7609,7,1.3,2/m,0
AgP15,22.166262,1.2242,14,0.26,-1,0
As2O3,18.09691051,3.4555,19,1.26,2/m,1
Te3As2,30.48595649,0.6958,27,0.08,2/m,1
SiBr2,37.75882194,2.3639,19,1.06,2/m,1
Zn3As2,21.39815362,0.1349,23,0.53,m-3,1
SiC,10.47692516,2.0169,8,0.65,3m,0
W2Br5,34.45332648,0.8696,19,0.6,2/m,0
SiC,10.49266798,1.9788,8,0.65,3m,0
SiC,10.49268652,1.9915,8,0.65,3m,0
SiC,10.50157513,1.9544,8,0.65,3m,0
Y4C7,14.6147615,0.6128,5,1.33,2/m,1
Cd3As2,27.31327276,0.1409,23,0.49,4/mmm,1
Ba20Hg103,29.03513218,0.1803,12,1.11,-43m,1
TaBr5,39.19933252,2.0349,18,1.46,2/m,0
Zn3As2,21.33237091,0.1464,23,0.53,4mm,1
SiC,10.49702137,1.8603,8,0.65,3m,0
CdP2,23.989451,1.5911,15,0.5,422,0
BaSe,37.37055539,1.9607,16,1.66,m-3m,0
CdTe,36.4556627,0.6198,24,0.41,6mm,1
AgO,14.20420957,0.1359,15,1.51,4/m,0
AlF3,12.12309104,7.3085,18,2.37,4/mmm,1
BaO,22.12750147,2.0906,8,2.55,m-3m,1
CaP,24.24059419,0.3896,7,1.19,-6m2,0
LiC,11.85825683,3.2822,5,1.57,mmm,0
K3As,38.63358546,0.114,14,1.36,6/mmm,0
CaSe,26.52568786,2.0802,16,1.55,m-3m,0
Ba3P4,30.83564728,0.4826,7,1.3,mm2,1
Al7Te10,33.95480059,1.3757,25,0.49,32,0
BaSi2,29.52011688,0.8057,6,1.01,mmm,0
BaS,33.6548118,2.1641,8,1.69,m-3m,0
CaTe,32.72544052,1.5648,16,1.1,m-3m,0
Sr3As4,29.262192,0.6244,15,1.23,mm2,0
BeSe,17.41184015,2.6874,16,0.98,-43m,0
AlP,20.87765612,1.6302,16,0.58,-43m,0
Rb2As3,37.359556,0.5375,14,1.36,mmm,1
Cs2As3,42.1735095,0.572,14,1.39,mmm,1
As2Ir,18.11191594,0.8486,20,0.02,2/m,0
Sc4C3,13.47734527,0.327,5,1.19,-43m,1
Be2C,6.754584295,1.1856,6,0.98,m-3m,0
CaC2,16.3575627,2.0461,6,1.55,2/m,0
As2O3,18.94837908,3.6194,19,1.26,2/m,0
As2O3,18.16642344,3.9546,19,1.26,2/m,0
Al4C3,11.65200971,1.3528,15,0.94,-3m,0
BeF2,11.70612845,8.3241,9,2.41,32,0
As2Rh,18.00673674,0.2466,20,0.1,2/m,0
CaS,23.34755337,2.3931,8,1.58,m-3m,0
Ba2Sb3,38.59881973,0.2721,15,1.16,2/m,0
AlN,10.65848688,3.3056,16,1.43,-43m,0
BaN6,16.98547675,3.8159,7,2.15,2/m,1
Ba5Sb4,42.15717736,0.2922,15,1.16,mmm,0
GeAs2,26.03027322,0.7104,25,0.17,mmm,0
Ca5Sb3,31.50577124,0.2502,15,1.05,mmm,0
Ba5P4,33.4417845,0.9387,7,1.3,mmm,0
BeO,6.990276065,6.8694,8,1.87,-43m,0
As2O5,12.9041078,1.4032,19,1.26,222,1
Be3N2,6.764575579,3.3129,7,1.47,m-3,1
SiAs,25.83659525,1.473,17,0.28,2/m,0
Mg3As2,24.27224813,1.431,15,0.87,m-3,1
CO2,16.28204249,6.6332,10,0.89,m-3,1
FeAs2,15.33527004,0.2833,19,0.35,mmm,0
BaGe2,31.15546777,0.5612,14,1.12,mmm,0
BaTe2,39.92191253,0.3703,16,1.21,4/mmm,0
AlAs,23.56284008,1.519,24,0.57,-43m,0
As2O3,19.93832507,4.0085,19,1.26,m-3m,0
Al2O3,9.257317092,4.8274,17,1.83,mm2,1
RbBr,43.3902642,4.1927,16,2.14,m-3m,1
InBr,34.1282463,1.3112,26,1.18,mmm,0
PBr5,38.14701515,1.6257,20,0.77,mmm,0
TlBr,33.39054935,2.0754,26,1.34,m-3m,1
YbBr2,33.59149463,4.4989,29,1.86,mmm,1
CaBr2,34.28687069,4.5304,17,1.96,mmm,1
AgI,36.57788041,1.3959,24,0.73,6mm,1
CaCl2,29.18323609,5.3548,9,2.16,4/mmm,1
CsBr,42.38959324,4.2433,16,2.17,m-3m,0
CuBr,23.13713826,0.4859,24,1.06,-43m,1
NaBr,27.37426209,4.0899,16,2.03,m-3m,1
CuBr,23.10164288,0.9949,24,1.06,4/mmm,1
AgCl,22.21643168,0.9539,16,1.23,m-3m,0
AgI,36.60977948,1.3678,24,0.73,-43m,1
ThBr4,33.64829779,2.9284,17,1.66,4/mmm,0
PtBr3,30.00928649,0.9388,23,0.68,-3,0
Pr2Br5,35.06704132,0.2826,18,1.83,2/m,0
HgBr,34.87026745,2.286,25,0.96,4/mmm,0
BaCl2,30.80932054,5.1132,9,2.27,mmm,1
CaCl2,28.96898032,5.395,9,2.16,mmm,1
SnBr4,48.60938354,2.7003,27,1,2/m,0
AsI3,44.57387365,2.2308,28,0.48,-3,0
PrBr3,31.39767182,3.4284,18,1.83,6/m,1
BBr3,43.72899452,3.8285,26,0.92,6/m,0
CuBr,24.47954428,0.4302,24,1.06,6/mmm,1
AgBr,25.04610178,0.7416,24,1.03,m-3m,0
KBr,37.64717939,4.3224,16,2.14,m-3m,1
LiBr,20.94957107,4.9246,16,1.98,m-3m,0
BaI2,44.18898042,3.4431,17,1.77,mmm,0
LaBr3,32.26246366,2.9251,16,1.86,6/m,0
BeCl2,26.67490128,6.3325,9,1.59,mmm,0
AsCl3,36.38033181,3.9884,20,0.98,222,0
AlBr3,41.7665521,4.0967,26,1.35,2/m,1
HgBr2,38.36696558,2.5374,25,0.96,mm2,0
BrF3,17.67189323,2.1621,22,1.02,mm2,0
EuBr2,32.41467672,1.0458,22,1.76,4/m,1
AsBr3,43.19174339,3.1283,28,0.78,222,0
CaH2,11.89311002,3.0081,3,1.2,mmm,0
BaH2,18.78269435,2.8372,3,1.31,mmm,0
BaS3,25.81377713,1.3727,8,1.69,-42m,0
AlH3,8.534547612,2.1855,12,0.59,-3m,0
As2Os,17.44840706,0.6307,19,0.02,mmm,0
CdS,26.2091095,1.0461,16,0.89,-43m,1
CaC2,16.11954569,1.3527,6,1.55,4/mmm,0
As2Pt,18.58333338,0.1176,21,0.1,m-3,0
Ca2Si,27.67107951,0.2912,6,0.9,mmm,1
BeTe,22.75275673,2.0259,16,0.53,-43m,0
GaAs,23.76592846,0.1861,24,0.37,-43m,1
BeO,6.997931986,7.4598,8,1.87,6mm,1
AlCl3,24.98784314,5.2758,18,1.55,2/m,0
CaO,14.16604108,3.6301,8,2.44,m-3m,0
AlSb,30.2803051,1.2273,24,0.44,-43m,0
CdSe,29.97638533,3.5799,24,0.86,-43m,1
BeP2,15.86773975,0.8435,7,0.62,2/m,0
